GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
apicitasmedicas,com.epiis.apicitasmedicas.controller,SpecialtyController,0,41,0,0,0,15,0,5,0,5
apicitasmedicas,com.epiis.apicitasmedicas.controller,AuthController,38,34,2,2,6,13,4,3,2,3
apicitasmedicas,com.epiis.apicitasmedicas.controller,AppointmentController,0,124,0,4,0,36,0,13,0,11
apicitasmedicas,com.epiis.apicitasmedicas.controller,AppointmentController.new PropertyEditorSupport() {...},0,48,0,2,0,12,0,3,0,2
apicitasmedicas,com.epiis.apicitasmedicas.controller,AppointmentFileController,27,38,1,3,7,10,1,3,0,2
apicitasmedicas,com.epiis.apicitasmedicas.controller,DoctorController,0,50,0,0,0,18,0,6,0,6
apicitasmedicas,com.epiis.apicitasmedicas.security,SecurityConfig,116,0,0,0,22,0,8,0,8,0
apicitasmedicas,com.epiis.apicitasmedicas.security,JwtUtil,1,105,1,1,0,26,1,13,0,13
apicitasmedicas,com.epiis.apicitasmedicas.security,JwtAuthFilter,70,0,6,0,19,0,5,0,2,0
apicitasmedicas,com.epiis.apicitasmedicas.security,SecurityUtil,2,42,2,8,0,8,2,5,0,2
apicitasmedicas,com.epiis.apicitasmedicas.helper,GenericHelper,0,30,0,2,0,6,0,3,0,2
apicitasmedicas,com.epiis.apicitasmedicas.dto.request,RequestAppointmentComment,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.request,RequestAuthRegister,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.request,RequestSpecialtyInsert,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.request,RequestDoctorBase,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.request,RequestSpecialtyUpdate,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.request,RequestAppointmentInsert,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.request,RequestDoctorUpdate,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.request,RequestAuthLogin,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.request,RequestDoctorInsert,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas,ApicitasmedicasApplication,8,0,0,0,3,0,2,0,2,0
apicitasmedicas,com.epiis.apicitasmedicas,WebConfig,51,0,0,0,7,0,2,0,2,0
apicitasmedicas,com.epiis.apicitasmedicas.generic,ResponseGeneric,8,22,0,0,2,7,2,4,2,4
apicitasmedicas,com.epiis.apicitasmedicas.business,BusinessAuth,0,173,0,6,0,44,0,6,0,3
apicitasmedicas,com.epiis.apicitasmedicas.business,BusinessAppointment,5,644,1,25,1,141,1,25,0,13
apicitasmedicas,com.epiis.apicitasmedicas.business,BusinessSpecialty,0,203,0,10,0,52,0,10,0,5
apicitasmedicas,com.epiis.apicitasmedicas.business,BusinessDoctor,15,466,5,21,3,106,5,16,0,8
apicitasmedicas,com.epiis.apicitasmedicas.entity,EntityDoctor,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.entity,EntityAppointmentComment,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.entity,EntityDoctorSpecialty,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.entity,EntityAppointmentFile,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.entity,EntityUser,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.entity,EntityAppointment,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.entity,EntitySpecialty,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseDoctorGetBySpecialty,0,8,0,0,0,2,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseSpecialtyGetAll,0,8,0,0,0,2,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseAppointmentGetAll,0,8,0,0,0,2,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseSpecialtyInsert,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseDoctorDelete,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseAppointmentInsert,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseAppointmentReject,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseAppointmentSeen,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseAppointmentComment,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseDoctorInsert,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseAuthLogin,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseDoctorUpdate,0,3,0,0,0,1,0,1,0,1
apicitasmedicas,com.epiis.apicitasmedicas.dto.response,ResponseSpecialtyUpdate,0,3,0,0,0,1,0,1,0,1
